"","species","citation","entry","lon","lat","comments","year","accepted_name"
"182","Nasturtium armoracia","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Nasturtium Armoracia Landeck: im Bielekies zwischen Bad und Stadt (Prof. Schube)!",16.88024,50.34317,"Lądek-Zdrój, w fosie rzeki Biała Lądecka","1933","Armoracia rusticana P.Gaertn., B.Mey. & Scherb."
"183","Arnica montana","@wimmerBerichtUberVerhandlungen1850","Aus der Flora der Lausitz und dem nächstangrenzenden Theile der Mark vom Apotheker Knorr in
Sommerfeld. (Als neu für Schlesien: [...] aus den Umgebungen von Sommerfeldt: Reseda luteola, Nasturtium officinale, Drosera longifolia und intermedia häufig, Illecebrum, Sedum villosum, Myriophyllum verticillatum, [...] Astragalus arenarius, Valeriana exaltata und sambucifolia, Arnica montana, Xanthium spinosum, durch die Karden eingeführt; Andromeda polifolia, Pulmonaria angustifolia, Omphalodes scorpioides, Utricularia minor und intermedia, Thesium ebracteatum, Potamogeton rufescens, Scheuchzeria, Sturmia Loeselii, Cephalanthera rubra, Leucoium vernum, Juncus Tanageia, Holoschoenus, Rhynchospora fusca, Cladium Mariscus, Carex limosa, Calamagostris stricta, Lycopodium inundatum, Chara syncarpa.)",14.979,51.78799,"Lubsko, gm. Lubsko, pow. żarski","1850","Arnica montana L."
"184","Arnica montana","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Arnica montana Glatz: Steinbruchberg bei Schwenz (Prof. Schube)!",16.59941,50.50077,"Święcko, gm. Kłodzko; wzgórze z kamieniołomem","1933","Arnica montana L."
"185","Arnica montana","@schalowErgebnisseDurchforschungSchlesischen1934","Arnica montana Liebenthal: [...] Stadtwald (Buchs)!",15.5098,51.00327,"Lubomierz, Las Lubomierski","1934","Arnica montana L."
"186","Arnica montana","@schalowErgebnisseDurchforschungSchlesischen1934","Arnica montana Liebenthal: „Harte“ [...]",15.5503,51.12147,"współrzędne wskazują na Hartelangenvorverk, Radłówka, gm. Lwówek Śląski, ale nie mam pewności, że Harte == Hartelangenvorverk","1934","Arnica montana L."
"187","Arnica montana","@schalowErgebnisseDurchforschungSchlesischen1935","Arnica montana Niesky: zwischen Lieske und Boxberg (Militzer)",14.55372,51.36632,"","1935","Arnica montana L."
"188","Arnica montana","@schalowErgebnisseDurchforschungSchlesischen1936","Arnica montana (Neustadt bei Hoyerswerda),",14.46084,51.48853,"","1936","Arnica montana L."
"189","Arrhenatherum elatius f. biaristatum","@schalowErgebnisseDurchforschungSchlesischen1935","Arrhenatherum elatius f. biaristatum Glatz: Neuland (Kramarz)!",16.65898,50.41431,"Kłodzko, Nowy Świat; (https://pl.wikipedia.org/wiki/Nowy_%C5%9Awiat_(przedmie%C5%9Bcie_K%C5%82odzka)","1935","Arrhenatherum elatius (L.) P.Beauv. ex J.Presl & C.Presl"
"190","Artemisia annua","@schalowErgebnisseDurchforschungSchlesischen1932","A. annua Breslau: Schuttplatz vor Morgenau!",17.06966,51.09861,"Wrocław, Rakowiec, wysypisko śmieci","1932","Artemisia annua L."
"191","Artemisia annua","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Artemisia annua Breslau: Schulgarten in Zindel (Pfeiffer)!",17.25478,51.06232,"Wojnowice, gm. Czernica, pow. wrocławski; w ogródku szkolnym","1933","Artemisia annua L."
"192","Artemisia annua","@schalowErgebnisseDurchforschungSchlesischen1935","Artemisia annua Breslau: Schuttplatz bei der Körnerwiese!",17.02072,51.06883,"wysypisko śmieci, polana Kornera, Wrocław; (https://www.dworniczak.com/zieleniec-ze-wzgorzem-skornik-historyczna-polana-kornera/)","1935","Artemisia annua L."
"193","Artemisia campestris","@schalowErgebnisseDurchforschungSchlesischen1934","Artemisia campestris Greiffenberg: Güterbahnhof (Buchs)!",15.42991,51.03359,"Gryfów Śląski, dworzec towarowy","1934","Artemisia campestris L."
"194","Artemisia campestris","@schalowErgebnisseDurchforschungSchlesischen1936","Bemerkenswert sind auch einige Funde von Lehrer Titz, Fellhammer : Sagina nodosa und Artemisia campestris (Halden des Egmontschachtes),",16.2128,50.74758,"Boguszów-Gorce / Kuźnice Świdnickie; hałdy dawnej kopalni 'Egmont'","1936","Artemisia campestris L."
"195","Artemisia campestris","@schalowErgebnisseDurchforschungSchlesischen1936","Zu den schon bekannte gesellt sich nun noch Silene Otites, die ich in den Nephritbruchen bei Jordansmühl antraf. Sie wuchs hier in Gesellschaft von Potentilla arenaria, Scabiosa canescens, Artemisia campestris, Seseli coloratum und Verbascum Blattaria.",16.83823,50.87105,"w kamieniołomach nefrytu, Jordanów Śląski","1936","Artemisia campestris L."
"196","Artemisia pontica","@schalowErgebnisseDurchforschungSchlesischen1935","A. pontica Reinerz: Abhang an der Dorfstraße in Jauernig (Thielscher)!",16.33319,50.39376,"Jawornica, gm. Lewin Kłodzki","1935","Artemisia pontica L."
"197","Asperugo procumbens","@schalowErgebnisseDurchforschungSchlesischen1932","Asperugo procumbens Frankenstein: Gickelsberg b. Zadel (Rauhut)!",16.81536,50.58093,"Göckelsberg - pagórek na południe od miejscowości Ząbkowice Śląskie, nad rzeką Budzówka","1932","Asperugo procumbens L."
"198","Asperugo procumbens","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Asperugo procumbens [...] Frankenstein: Silberberger Vorstadt (Rauhut)!",16.6632,50.57451,"przedmieście, Srebrna Góra, gm. Stoszowice, pow. ząbkowicki","1933","Asperugo procumbens L."
"199","Asperugo procumbens","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Asperugo procumbens Wohlau: Bahnübergang (Petras); [...]",16.63465,51.33241,"Wołów, przejazd kolejowy","1933","Asperugo procumbens L."
"200","Asperugo procumbens","@schalowErgebnisseDurchforschungSchlesischen1934","Asperugo procumbens Guhrau: katholischer Friedhof (Weidlich)!",16.54161,51.66229,"Góra, cmentarz katolicki","1934","Asperugo procumbens L."
"201","Asperugo procumbens","@schalowErgebnisseDurchforschungSchlesischen1935","Asperugo procumbens Frankenstein: Kobelau (Rauhut)!",16.87673,50.65428,"Kobyla Głowa, gm. Ciepłowody","1935","Asperugo procumbens L."
"202","Aspidium filix mas var. deorsolobatum","@schalowErgebnisseDurchforschungSchlesischen1935","A. Filix mas var. deorsolobatum Isergebirge: Hirschstein (Buchs)!",15.46035,50.90972,"Jelenie Skały","1935","Aspidium filix mas var. deorsolobatum"
"203","Asplenium viride ssp. adulterinum","@schubeErgebnisseDurchforschungSchlesischen1898","Asplenium viride ssp. adulterinum. Bolkenhain: Grosser Hau (Sz.)!",16.04102,50.89153,"","1898","Asplenium adulterinum Milde"
"204","Asplenium ruta-muraria","@schubeErgebnisseDurchforschungSchlesischen1897","Aspidium Lonchitis (L.) Sw. Rosenberg: ein Stock an der Brücke bei Skronskau mit Asplenium Trichomanes L. und A. Ruta muraria L. (Zuschke)!",18.46402,50.97297,"Skrońsko, gm. Gorzów Śląski, pow. oleski; na moście","1897","Asplenium ruta-muraria L."
"205","Asplenium Ruta muraria","@schalowErgebnisseDurchforschungSchlesischen1932","A. Ruta muraria Kanth: [...] Mettkau (Schoepke)!",16.6506,50.97489,"Mietków, gm. Mietków","1932","Asplenium ruta-muraria L."
"206","Asplenium Ruta muraria","@schalowErgebnisseDurchforschungSchlesischen1932","A. Ruta muraria Kanth: Schosnitz [...]",16.78266,51.03255,"Sośnica, gm. Kąty Wrocławskie","1932","Asplenium ruta-muraria L."
"207","Asplenium Ruta muraria","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Asplenium Ruta muraria [...] Kanth: alter Kirchhof (Kotschy)!",16.76961,51.03187,"Kąty Wrocławskie, stary cmentarz","1933","Asplenium ruta-muraria L."
"208","Asplenium Ruta muraria","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Asplenium Ruta muraria Wohlau: Mondschütz!; [...]",16.60603,51.31255,"Mojęcice, gm. Wołów","1933","Asplenium ruta-muraria L."
"209","Asplenium ruta-muraria","@schalowErgebnisseDurchforschungSchlesischen1935","Asplenium Ruta muraria Neumarkt: Borne (Kotschy)!",16.72266,51.16189,"Źródła, Środa Śląska","1935","Asplenium ruta-muraria L."
"210","Asplenium germanicum Weis.","@vonuechtritzWichtigerenErgebnisseErforschung1878","Asplenium germanicum Weis. Am Eulenberge bei Seitenberg, Grafschaft Glatz! (M. Preuss.)",16.82878,50.28263,"Stronie Śląskie - Wieś, gm. Stronie Śląskie, pow. kłodzki","1878","Asplenium ruta-muraria subsp. ruta-muraria"
"211","Asplenium germanicum Weis.","@fiekErgebnisseDurchforschungSchlesischen1895","Asplenium germanicum Weis. Landeshut: Felsen über dem Schulholz bei Wüsteröhrsdorf (Alt)!",15.95586,50.81214,"","1895","Asplenium ruta-muraria subsp. ruta-muraria"
"212","Asplenium septentrionale","@schubeErgebnisseDurchforschungSchlesischen1898","Asplenium septentrionale. Ziegenhals: Wildgrund bei Arnoldsdorf (Bs.).",17.46099,50.286,"","1898","Asplenium septentrionale (L.) Hoffm."
"213","Asplenium septentrionale","@schubeErgebnisseDurchforschungSchlesischen1898","Asplenium septentrionale. Ziegenhals: Mönchsteine an der Bischofskoppe,",17.40439,50.25846,"","1898","Asplenium septentrionale (L.) Hoffm."
"214","Asplenium trichomanes L.","@schubeErgebnisseDurchforschungSchlesischen1897","Aspidium cristatum (L.) Sw. Oppeln: Thiergarten bei Turawa viel mit Viola epipsila (Schmidt).",18.08391,50.73769,"","1897","Asplenium trichomanes L."
"215","Asplenium trichomanes L.","@schubeErgebnisseDurchforschungSchlesischen1897","Aspidium Lonchitis (L.) Sw. Rosenberg: ein Stock an der Brücke bei Skronskau mit Asplenium Trichomanes L. und A. Ruta muraria L. (Zuschke)!",18.46402,50.97297,"Skrońsko, gm. Gorzów Śląski, pow. oleski; na moście","1897","Asplenium trichomanes L."
"216","Asplenium trichomanes L.","@schubeErgebnisseDurchforschungSchlesischen1898","Asplenium Trichomanes. Koben: Rostersdorf (Sm.).",16.30419,51.58889,"","1898","Asplenium trichomanes L."
"217","Asplenium viride Huds.","@fiekErgebnisseDurchforschungSchlesischen1895","Asplenium viride Huds. Landeshuter Kamm: Rothenzechau unweit des untern Marmorbruches (Alt)!",15.92383,50.81733,"Czarnów, gm. Kamienna Góra; w pobliżu kamieniołomu marmuru","1895","Asplenium viride Huds."
"218","Asplenium viride","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Asplenium viride Breslau: an der Innenmauer einer alten Drehscheibe auf dem Güterbhf. West! (Dr. K. Meyer)! Ein recht überraschendes Vorkommen!",17.01173,51.11007,"Wrocław, między ul. Braniborska a Robotnicza, na murze","1931","Asplenium viride Huds."
"219","Aster salignus","@wimmerBerichtUberVerhandlungen1850","Standorte seltener schlesischer Pflanzen, von dem Pharmaceuten Bartsch in Glatz: (Aster salignus bei Schweidnitz;  [...]",16.48003,50.83128,"Świdnica","1850","Aster salignus L."
"220","Aster salignus","@wimmerEinigeFormenSalix1851","Campanula Rapunculus, Thalictrum flavum, Aster salignus; neue Fundorte um Wohlau, mitgetheilt durch Günzel-Becker",16.65648,51.33794,NA,"1851","Aster salignus L."
"221","Aster salignus","@schalowErgebnisseDurchforschungSchlesischen1932","A. salignus Willd. (= A. salicifolius) Kraschnitz: Galgenberg (Schoepke)!",17.30114,51.47511,"[wzgórze] Golnik, Świebodów, gm. Krośnice, pow. milicki","1932","Aster salignus L."
"222","Aster salignus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. salignus [...] Breslau: [...] Oderufer bei Rattwitz!",17.26654,51.02726,"Ratowice, gm. Czernica; brzek rzeki Odra","1933","Aster salignus L."
"223","Aster salignus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. salignus [...] Breslau: Wegränder bei Neu-Stabelwitz, [...]",16.90705,51.16072,"Wrocław, Stabłowice, pobocza","1933","Aster salignus L."
"224","Aster salignus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. salignus [...] Auras: gegenüber Peiskerwitz!; [...]",16.88898,51.22494,"Raków, gm. Oborniki Śląskie, pow. trzebnicki, na wprost nieistniejącej miejscowości Peiskerwitz","1933","Aster salignus L."
"225","Aster salignus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. salignus [...] Maltsch: Oderufer gegen Leubus!; [...]",16.46899,51.23988,"Malczyce, gm. Malczyce, pow. średzki, brzek rzeki Odra na wprost Lubiąża","1933","Aster salignus L."
"226","Aster salignus","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","A. salignus Steinau a. d. O.: Oderufer bei Kunzendorf!; [...]",16.45264,51.40461,"brzeg rzeki Odra w pobliżu Małowice, gm. Wińsko, pow. wołowski","1933","Aster salignus L."
"227","Aster salignus","@schalowErgebnisseDurchforschungSchlesischen1934","A. salignus Liebenthal: Spiller (Buchs)!",15.57242,50.95772,"Pasiecznik, gm. Lubomierz, pow. lwówecki","1934","Aster salignus L."
"228","Aster salignus","@schalowErgebnisseDurchforschungSchlesischen1935","Sie brachte es u. a. auch mit sich, daß zahlreiche Pflanzen des Spätsommers auffällig zeitig blühten, wie z. B. die Herbstaster (Aster salignus), die ich schon Mitte Juni am Oderufer bei Oppeln blühend antraf",17.9172,50.6608,"brzeg Odry, Opole","1935","Aster salignus L."
"229","Astragalus arenarius","@wimmerBerichtUberVerhandlungen1850","Aus der Flora der Lausitz und dem nächstangrenzenden Theile der Mark vom Apotheker Knorr in
Sommerfeld. (Als neu für Schlesien: [...] aus den Umgebungen von Sommerfeldt: Reseda luteola, Nasturtium officinale, Drosera longifolia und intermedia häufig, Illecebrum, Sedum villosum, Myriophyllum verticillatum, [...] Astragalus arenarius, Valeriana exaltata und sambucifolia, Arnica montana, Xanthium spinosum, durch die Karden eingeführt; Andromeda polifolia, Pulmonaria angustifolia, Omphalodes scorpioides, Utricularia minor und intermedia, Thesium ebracteatum, Potamogeton rufescens, Scheuchzeria, Sturmia Loeselii, Cephalanthera rubra, Leucoium vernum, Juncus Tanageia, Holoschoenus, Rhynchospora fusca, Cladium Mariscus, Carex limosa, Calamagostris stricta, Lycopodium inundatum, Chara syncarpa.)",14.979,51.78799,"Lubsko, gm. Lubsko, pow. żarski","1850","Astragalus arenarius L."
"230","Astragalus arenarius","@schalowErgebnisseDurchforschungSchlesischen1932","Astragalus arenarius [...] Steinau: Ob.-Dammer (Pfeiffer)!",16.30803,51.42071,"Dąbrowa Górna, gm. Lubin","1932","Astragalus arenarius L."
"231","Astragalus arenarius","@schalowErgebnisseDurchforschungSchlesischen1932","Astragalus arenarius Bunzlau: nördlich Neuhammer (Weimann)!; [...]",15.81819,51.396,"Nowa Kuźnia, gm. Gromadka, pow. bolesławiecki, na północ od miejscowości","1932","Astragalus arenarius L."
"232","Astragalus arenarius","@schalowErgebnisseDurchforschungSchlesischen1934","Astragalus arenarius Guhrau: zwischen Kaltebortschen und Klein-Kloden (Weidlich)!",16.59514,51.66666,"pomiędzy miejscowościami Boorszyn Mały i Kłoda Górowska, gm. Góra","1934","Astragalus arenarius L."
"233","Astragalus arenarius","@schalowErgebnisseDurchforschungSchlesischen1936","Ganz überraschend aber kommt die Entdeckung recht pflanzenreicher sogenannter „pontischer“ Hügel unweit Dammer im südlichen Teile des Namslauer Kreises. Nach Wittigs Angaben finden sich hier: Anemone pratensis, Thesium intermedium, Sempervivum soboliferum, Scorzonera humilis, Anthericum ramosum, Polypodium vulgare, Scabiosa canescens, Allium senescens, Silene Otites und Astragalus arenarius.",17.82027,50.98202,"Dąbrowa, gm. Świerczów, wzgórza","1936","Astragalus arenarius L."
"234","Astragalus cicer","@schalowErgebnisseDurchforschungSchlesischen1935","Astragalus Cicer Trebnitz: Peterwitz!",17.02839,51.27081,"Piotrowiczki, gm,. Wisznia Mała, pow. Trzebnica","1935","Astragalus cicer L."
"235","Astrantia major","@schalowErgebnisseDurchforschungSchlesischen1932","Astrantia major Kanth: Thiemendorfer Wald (Schoepke)!",16.32322,51.45644,"Tymowa, gm. Ścinawa, pow. lubiński, las","1932","Astrantia major L."
"236","Astrantia major","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Astrantia major Guhrau: Oberwald (Weidlich)!",16.54575,51.64974,"Góra, gm. Góra, las na południe od miejscowości","1933","Astrantia major L."
"237","Astrantia major","@schalowErgebnisseDurchforschungSchlesischen1934","Astrantia major Rosenberg: Wollentschin (Klonek)!",18.5257,50.9449,"Wolęcin, gm. Radłów, pow. oleski","1934","Astrantia major L."
"238","Astrantia major","@schalowErgebnisseDurchforschungSchlesischen1935","Astrantia major Steinau a. d. O.: Thiemendorfer Wald!",16.32322,51.45644,"Tymowa, gm. Ścinawa, pow. lubiński, las","1935","Astrantia major L."
"239","Asplenium fllix femina","@vonuechtritzUeberWaldBei1863","In Menge finden sich dagegen Equisetum silvaticum, Aspidium spinulosum, A. ianacetifo1mm, Polypodium Phegopteris (gemein an den steilen Uferrän­ dern des Baches), P. Dryopteris (ebenda, doch seltener), Pteris aquilina, Asplénium fllix femina, Lycopodium clavatum, L. annotinum (nur steril).",16.8745,51.29093,"","1863","Athyrium filix-femina (L.) Roth"
"240","Silene armeria","@schalowErgebnisseDurchforschungSchlesischen1932","S. Armeria Strehlen: Gartenland beim Forsthaus Späne!",17.21135,50.72234,"Wawrzyszów, gm. Wiązów, pow. strzeliński, przy dawnej leśniczówce","1932","Atocion armeria (L.) Fourr."
"241","Silene armeria","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","S. Armeria Liebenthal: ev. Friedhof (Buchs)!",15.50577,51.01593,"Lubomierz; cmentarz ewangelicki","1933","Atocion armeria (L.) Fourr."
"242","Silene armeria","@schalowErgebnisseDurchforschungSchlesischen1934","S. Armeria Löwenberg: Kleeacker bei Nieder-Schmottseiffen (Gerhard Scholz t. Buchs)!",15.61006,51.06778,"Pławna Dolna, gm. Lubomierz, pow. lwówecki, pola koniczyny","1934","Atocion armeria (L.) Fourr."
"243","Atrichum tenellum","@mildeMittheilungenUberSchlesische1861","Lycopodium inundatum. Bei Karlowitz an einer neuen Stelle aufgefunden mit Radiota, Drosera rotundif., Trematodon, Atrichurn tenellum.",17.06829,51.13033,"os. Karłowice, Wrocław","1861","Atrichum tenellum Bruch & W.P.Schimper, 1844"
"244","Atriplex hortense","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Atriplex hortense Strehlen: Schönbrunn!",17.18909,50.7054,"Strużyna, gm. Przeworno, pow. strzeliński","1931","Atriplex hortensis L."
"245","Atriplex hortense","@schalowErgebnisseDurchforschungSchlesischen1932","A. hortense Breslau: auf den Schuttplätzen [...] in Bischofswalde! [...]",17.09846,51.09952,"Wrocław, Biskupin, wysypisko śmieci","1932","Atriplex hortensis L."
"246","Atriplex hortense","@schalowErgebnisseDurchforschungSchlesischen1932","A. hortense Breslau: auf den Schuttplätzen [...] vor Morgenau [...]",17.06966,51.09861,"Wrocław, Rakowiec, wysypisko śmieci","1932","Atriplex hortensis L."
"247","Atriplex hortense","@schalowErgebnisseDurchforschungSchlesischen1932","A. hortense Breslau: auf den Schuttplätzen vor Woischwitz, [...]",17.03917,51.06676,"Wrocław, Wojszyce, wysypisko śmieci","1932","Atriplex hortensis L."
"248","Atriplex hortense f. ruberrimum","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Atriplex hortense f. ruberrimum Grottkau: Ödland bei Tarnau!",17.4,50.70441,"Tarnów Grodkowski, gm. Grodków, pow. brzeski","1933","Atriplex hortensis L."
"249","Atriplex hortense","@schalowErgebnisseDurchforschungSchlesischen1934","Atriplex hortense Lauban: Güterbahnhof (Buchs)!",15.29498,51.10889,"Lubań, dworzec towarowy","1934","Atriplex hortensis L."
"250","Atriplex hortense f. ruberrimum","@schalowErgebnisseDurchforschungSchlesischen1935","A. hortense [...] f. ruberrimum [...] Neumarkt: Nimkau (Kotschy)!",16.74325,51.1889,"Miękinia","1935","Atriplex hortensis L."
"251","Atriplex hortense f. ruberrimum","@schalowErgebnisseDurchforschungSchlesischen1935","A. hortense [...] f. ruberrimum Liebenthal: Mittel-Schmottseiffen (Buchs)!;",15.59113,51.05175,"Pławna Średnia","1935","Atriplex hortensis L."
"252","Atriplex hortense","@schalowErgebnisseDurchforschungSchlesischen1935","A. hortense Kanth: Städtische Sandgrube (Schoepke)!",16.76838,51.03559,"Kąty Wrocławskie, piaskownia","1935","Atriplex hortensis L."
"253","Atriplex nitens","@schalowErgebnisseDurchforschungSchlesischen1932","Atriplex nitens [...] Liegnitz: Bahngelände (Buchs)!",16.17249,51.21445,"Legnica, tereny kolejowe","1932","Atriplex sagittata Borkh."
"254","Atriplex nitens","@schalowErgebnisseDurchforschungSchlesischen1932","Atriplex nitens Lähn: Lehnhausburg (Buchs)!; [...]",15.66318,51.01652,"Zamkowa Góra, Pałac Lenno, Wleń","1932","Atriplex sagittata Borkh."
"255","Atriplex nitens","@schalowErgebnisseDurchforschungSchlesischen1935","Atriplex nitens [...] Steinau a. d. O.: Ziegelei Ransen (Pfeiffer)!",16.39232,51.40155,"obecnie Cegielniany Las, między Ręszów a Ścinawa","1935","Atriplex sagittata Borkh."
"256","Atriplex nitens","@schalowErgebnisseDurchforschungSchlesischen1935","Atriplex nitens [...] Jauer: gegen Lobris (Strauch)!",16.29748,51.05967,"Luboradz, gm. Mściwojów, pow. Jawor","1935","Atriplex sagittata Borkh."
"257","Atriplex nitens","@schalowErgebnisseDurchforschungSchlesischen1935","Atriplex nitens Hoyerswerda: alte Berliner Straße (Militzer)!;",14.23576,51.44315,"","1935","Atriplex sagittata Borkh."
"258","Avena sativa f . aristata Krause","@schalowErgebnisseDurchforschungSchlesischen1935","Avena sativa f . aristata Krause Breslau: Schuttplatz bei der Körnerwiese!",17.02072,51.06883,"wysypisko śmieci, polana Kornera, Wrocław; (https://www.dworniczak.com/zieleniec-ze-wzgorzem-skornik-historyczna-polana-kornera/)","1935","Avena sativa L."
"259","Barbaraea stricta","@schalowErgebnisseDurchforschungSchlesischen1934","Barbaraea stricta [...] Liebenthal: Güterbahnhof (Buchs)!",15.50304,51.02095,"Lubomierz, [nieistniejący] dworzec kolejowy","1934","Barbarea stricta Andrz. ex Besser"
"260","Barbaraea stricta","@schalowErgebnisseDurchforschungSchlesischen1934","Barbaraea stricta Görlitz: Tauchritz (Militzer)!; [...]",14.93936,51.06571,"","1934","Barbarea stricta Andrz. ex Besser"
"261","Barbaraea stricta","@schalowErgebnisseDurchforschungSchlesischen1935","Barbaraea stricta Niesky: am Schöps (Militzer)",14.74741,51.28609,"wzdłuż rzeki Schöps","1935","Barbarea stricta Andrz. ex Besser"
"262","Kochia scoparia","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Kochia scoparia [...] Cosel: Oderhafen (Schubert)!",18.15245,50.35486,"Koźle, port","1931","Bassia scoparia (L.) A.J.Scott"
"263","Kochia scoparia","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Kochia scoparia Militsch: Feuerwehrschuppen (Schoepke)! [...]",17.28872,51.52553,"Milicz; szopy przeciwpożarowe","1931","Bassia scoparia (L.) A.J.Scott"
"264","Kochia scoparia","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Kochia scoparia [...] Cosel: Oderhafen (Schubert)!",18.15245,50.35486,"Koźle, port","1931","Bassia scoparia (L.) A.J.Scott"
"265","Kochia scoparia","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Kochia scoparia Militsch: Feuerwehrschuppen (Schoepke)! [...]",17.28872,51.52553,"Milicz; szopy przeciwpożarowe","1931","Bassia scoparia (L.) A.J.Scott"
"266","Kochia Scoparia f. trichophila Schinz et Thell.","@schalowErgebnisseDurchforschungSchlesischen1932","Kochia Scoparia f. trichophila Schinz et Thell. mit langbehaarten oberen Zweigenden Breslau: Schuttplatz vor Friedewalde!",17.09699,51.13491,"Mirowiec, os. Kowale, Wrocław, wysypisko śmieci","1932","Bassia scoparia (L.) A.J.Scott"
"267","Kochia scoparia","@schalowErgebnisseDurchforschungSchlesischen1934","Kochia scoparia [...] Grottkau: Güterbahnhof!",17.37724,50.70585,"Grodków, dworzec towarowy","1934","Bassia scoparia (L.) A.J.Scott"
"268","Kochia scoparia","@schalowErgebnisseDurchforschungSchlesischen1934","Kochia scoparia Strehlen: Prieborner Marmorbruch!; [...]",17.17662,50.69313,"Przeworno, pow. strzeliński, kamieniołom marmuru","1934","Bassia scoparia (L.) A.J.Scott"
"269","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Berberis vulgaris [...] Gr.-Strehlitz: Larischka (Schubert)!",18.17923,50.54258,"nieistniejąca kolonia, teren miejscowości Suchodaniec, gm. Izbicko, pow. strzelecki","1931","Berberis vulgaris L."
"270","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Berberis vulgaris [...] Kraschnitz: Wirschkowitz (Schoepke) [...]",17.33925,51.48223,"Wierzchowice, gm. Krośnice, pow. milicki","1931","Berberis vulgaris L."
"271","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Berberis vulgaris Winzig: [...] Schlaupp!; [...]",16.57148,51.44414,"Słup, gm. Wińsko, pow. wołowski","1931","Berberis vulgaris L."
"272","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1931","Berberis vulgaris Winzig: Gimmel, [...]",16.53865,51.52427,"Jemielno, gm. Jemielno, pow. górowski","1931","Berberis vulgaris L."
"273","Berberis vulgaris","@schalowErgebnisseDurchforschungSchlesischen1932","Berberis vulgaris Trachenberg: Dünen b. Gr.-Bargen!",16.79693,51.49061,"Barkowo, gm. Żmigród, pow. trzebnicki; wydmy śródleśne","1932","Berberis vulgaris L."
"274","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","S. purpurea Wohlau: Mägdeberg bei Mondschütz (Petras)! [...] Der durch das Vorkommen von Scorzonera purpurea bemerkenswerte Mägdeberg ist eine freie und nicht allzu hohe Kuppe aus sandigem Lehm, die sich südöstlich von Mondschütz am Rande eines Höhenzuges erhebt. Leider ist ihre ganze Südhälfte bereits völlig abgetragen. Der restliche Teil wird von steppenartigen Heidewiesen bedeckt, die ein recht urwüchsiges Gepräge haben. Nur hin und wieder werden sie von vereinzelten Sträuchern (Berberis vulgaris, Rhamnus cathartica, Evonymus europaeus, Rosa scabriuscula und Rubus caesius) unterbrochen. Aus dem recht interessanten Pflanzenbestande sind besonders erwähnenswert: Anemone pratensis, Geranium sanguineum, Silene Otites, Seseli coloratum, Sedum reflexum, Chondrilla juncea, Helianthemum chamaecistus, Phleum Boehmeri, Veronica spicata, Helichrysum arenarium, Saxifraga tridactylites, Potentilla opaca u. a. Jedenfalls verdient diese Örtlichkeit besondere B eachtung. — Da ich in den nächsten Jahren alles zusammenstellen möchte, was in unserer Heimat an derartigen schützenswerten Pflanzenbeständen noch vorhanden ist, so bitte ich um gefällige Hinweise.",16.61765,51.30139,"[wzgórze] Dziewin, Mojęcice, gm. Wołów","1933","Berberis vulgaris L."
"275","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Berberis vulgaris [...] Neurode: Liergrund bei Hausdorf (Kramarz)!",16.53689,50.62137,"teren obok [wzgórza] Lirnik, Jugów, gm. Nowa Ruda, pow. kłodzki;","1933","Berberis vulgaris L."
"276","Berberis vulgaris","@schalowErgebnisseSchlesischenPhanerogamenforschung1933","Berberis vulgaris Wohlau: Mägdeberg bei Mondschütz (Tscheppe)!; [...]",16.61765,51.30139,"[wzgórze] Dziewin, Mojęcice, gm. Wołów","1933","Berberis vulgaris L."
"277","Berberis vulgaris","@schalowErgebnisseDurchforschungSchlesischen1935","Berberis vulgaris [...] Strehlen: Ruppersdorf!",17.16302,50.77817,"Wyszonowice, gm. Wiązów, pow. strzeliński","1935","Berberis vulgaris L."
